cust, cap, prov, use, bought, problems
100, 20, 2, 6, 31.200000000000003, 0
100, 20, 4, 0, 20.899999999999995, 0
100, 20, 4, 2, 21.700000000000003, 0
100, 20, 4, 4, 22.000000000000007, 0
100, 20, 4, 6, 23.300000000000008, 0
100, 20, 6, 0, 17.9, 0
100, 20, 6, 2, 17.199999999999996, 0
100, 20, 6, 4, 18.299999999999997, 0
100, 20, 6, 6, 18.399999999999984, 0
100, 26, 0, 0, 59.40000000000001, 86388
100, 26, 0, 2, 54.999999999999986, 0
100, 26, 0, 4, 60.49999999999999, 0
100, 26, 0, 6, 55.69999999999999, 0
100, 26, 2, 0, 34.0, 0
100, 26, 2, 2, 32.7, 0
100, 26, 2, 4, 27.50000000000001, 0
100, 26, 2, 6, 33.00000000000001, 0
100, 26, 4, 0, 23.100000000000005, 0
100, 26, 4, 2, 20.40000000000002, 0
100, 26, 4, 4, 23.199999999999985, 0
100, 26, 4, 6, 20.900000000000006, 0
100, 26, 6, 0, 19.39999999999999, 0
100, 26, 6, 2, 19.000000000000004, 0
100, 26, 6, 4, 17.299999999999994, 0
100, 26, 6, 6, 18.79999999999999, 0
100, 40, 0, 0, 57.70000000000002, 0
100, 40, 0, 2, 49.10000000000002, 0
100, 40, 0, 4, 55.79999999999998, 0
100, 40, 0, 6, 58.600000000000016, 0
100, 40, 2, 0, 31.900000000000006, 0
100, 40, 2, 2, 31.400000000000002, 0
100, 40, 2, 4, 29.100000000000005, 0
100, 40, 2, 6, 29.500000000000018, 0
100, 40, 4, 0, 23.900000000000002, 0
100, 40, 4, 2, 23.900000000000006, 0
100, 40, 4, 4, 22.50000000000001, 0
100, 40, 4, 6, 21.700000000000017, 0
100, 40, 6, 0, 18.09999999999998, 0
100, 40, 6, 2, 16.49999999999998, 0
100, 40, 6, 4, 17.399999999999995, 0
100, 40, 6, 6, 18.700000000000014, 0
200, 20, 0, 0, 111.89999999999999, 86400
200, 20, 0, 2, 105.5, 86400
200, 20, 0, 4, 111.00000000000007, 86394
200, 20, 0, 6, 111.69999999999999, 49309
200, 20, 2, 0, 59.60000000000005, 86400
200, 20, 2, 2, 61.00000000000001, 4960
200, 20, 2, 4, 60.300000000000075, 0
200, 20, 2, 6, 58.30000000000004, 0
200, 20, 4, 0, 44.500000000000064, 86399
200, 20, 4, 2, 42.600000000000115, 0
200, 20, 4, 4, 41.20000000000004, 0
200, 20, 4, 6, 44.40000000000009, 0
200, 20, 6, 0, 35.60000000000006, 26735
200, 20, 6, 2, 33.90000000000007, 0
200, 20, 6, 4, 36.200000000000074, 0
200, 20, 6, 6, 37.900000000000055, 0
200, 26, 0, 0, 103.49999999999997, 86400
200, 26, 0, 2, 106.50000000000006, 86398
200, 26, 0, 4, 115.10000000000001, 27194
200, 26, 0, 6, 109.4, 0
200, 26, 2, 0, 60.20000000000004, 86400
200, 26, 2, 2, 57.000000000000064, 0
200, 26, 2, 4, 62.40000000000002, 0
200, 26, 2, 6, 61.200000000000095, 0
200, 26, 4, 0, 41.50000000000004, 67
200, 26, 4, 2, 43.70000000000005, 0
200, 26, 4, 4, 42.10000000000005, 0
200, 26, 4, 6, 43.900000000000055, 0
200, 26, 6, 0, 34.700000000000045, 0
200, 26, 6, 2, 34.40000000000004, 0
200, 26, 6, 4, 33.20000000000006, 0
200, 26, 6, 6, 38.300000000000075, 0
200, 40, 0, 0, 105.8, 86400
200, 40, 0, 2, 112.09999999999994, 21
200, 40, 0, 4, 106.30000000000003, 0
200, 40, 0, 6, 116.0, 0
200, 40, 2, 0, 60.80000000000007, 0
200, 40, 2, 2, 60.10000000000001, 0
200, 40, 2, 4, 58.90000000000005, 0
200, 40, 2, 6, 63.00000000000004, 0
200, 40, 4, 0, 44.40000000000006, 0
200, 40, 4, 2, 46.400000000000084, 0
200, 40, 4, 4, 45.70000000000008, 0
200, 40, 4, 6, 47.20000000000005, 0
200, 40, 6, 0, 36.90000000000006, 0
200, 40, 6, 2, 32.10000000000004, 0
200, 40, 6, 4, 33.400000000000055, 0
200, 40, 6, 6, 35.10000000000009, 0
500, 20, 0, 0, 285.70000000000044, 86400
500, 20, 0, 2, 280.1, 86400
500, 20, 0, 4, 278.79999999999967, 86400
500, 20, 0, 6, 271.70000000000016, 86400
500, 20, 2, 0, 149.29999999999978, 86400
500, 20, 2, 2, 148.09999999999965, 86400
500, 20, 2, 4, 157.89999999999964, 86400
500, 20, 2, 6, 159.49999999999983, 86400
500, 20, 4, 0, 107.49999999999977, 86400
500, 20, 4, 2, 116.49999999999987, 86400
500, 20, 4, 4, 113.49999999999982, 86400
500, 20, 4, 6, 114.79999999999976, 75872
500, 20, 6, 0, 90.19999999999995, 86400
500, 20, 6, 2, 92.59999999999974, 86400
500, 20, 6, 4, 90.29999999999986, 39168
500, 20, 6, 6, 91.49999999999983, 0
500, 26, 0, 0, 279.8000000000002, 86400
500, 26, 0, 2, 276.1, 86400
500, 26, 0, 4, 278.2, 86400
500, 26, 0, 6, 270.90000000000003, 86400
500, 26, 2, 0, 154.69999999999956, 86400
500, 26, 2, 2, 157.7999999999998, 86400
500, 26, 2, 4, 152.69999999999968, 86400
500, 26, 2, 6, 141.7999999999996, 27691
500, 26, 4, 0, 110.09999999999991, 86400
500, 26, 4, 2, 110.49999999999993, 86400
500, 26, 4, 4, 109.49999999999987, 1178
500, 26, 4, 6, 107.79999999999984, 0
500, 26, 6, 0, 93.89999999999978, 86400
500, 26, 6, 2, 91.39999999999989, 83577
500, 26, 6, 4, 87.89999999999992, 0
500, 26, 6, 6, 96.49999999999986, 0
500, 40, 0, 0, 271.59999999999985, 86400
500, 40, 0, 2, 281.70000000000044, 86400
500, 40, 0, 4, 277.2, 86400
500, 40, 0, 6, 273.3999999999999, 86400
500, 40, 2, 0, 147.89999999999992, 86400
500, 40, 2, 2, 142.4999999999996, 85038
500, 40, 2, 4, 145.4999999999998, 0
500, 40, 2, 6, 154.79999999999944, 0
500, 40, 4, 0, 111.49999999999973, 86400
500, 40, 4, 2, 110.80000000000004, 0
500, 40, 4, 4, 107.89999999999986, 0
500, 40, 4, 6, 110.89999999999974, 0
500, 40, 6, 0, 93.39999999999986, 86400
500, 40, 6, 2, 87.3999999999999, 0
500, 40, 6, 4, 88.19999999999986, 0
500, 40, 6, 6, 91.8999999999998, 0
